DATE,RF,SMB,HML,MktRF
192607,0.00250300,-0.02522653,-0.02360736,0.02905412
192608,0.00260325,-0.01147745,0.03750623,0.02618634
192609,0.00240276,-0.01368836,0.00053577,0.00352697
192610,0.00250300,-0.00146919,0.00900365,-0.03281390
192611,0.00240276,-0.00105250,-0.00608305,0.02564430
192612,0.00260325,-0.00050195,0.00055687,0.02601243
192701,0.00250300,-0.00321708,0.04590496,-0.00061200
192702,0.00220231,0.00063204,0.02617956,0.04194778
192703,0.00270351,-0.01776672,-0.02336943,0.00147478
192704,0.00250300,0.00382633,0.00635749,0.00482285
192705,0.00250300,0.01392314,0.04538330,0.05445761
192706,0.00250300,0.00531452,-0.01708809,-0.02379193
192707,0.00250300,-0.03054086,-0.01047120,0.07253044
192708,0.00270351,-0.00757824,-0.03683369,0.01992770
192709,0.00250300,-0.03450163,-0.00557365,0.04781985
192710,0.00250300,0.02075308,-0.04576231,-0.04286498
192711,0.00240276,0.02613844,-0.00098213,0.06507760
192712,0.00260325,0.00989878,-0.01105054,0.02096195
192801,0.00250300,0.04278436,-0.00753646,-0.00556946
192802,0.00230253,-0.02075210,-0.00604151,-0.01681639
192803,0.00270351,-0.00328404,-0.01061159,0.08796749
192804,0.00220231,0.03931099,0.03109038,0.04242759
192805,0.00220231,0.02663979,-0.02862592,0.01517161
192806,0.00260325,-0.03791089,0.00378426,-0.04874075
192807,0.00250300,-0.01357000,-0.00567703,0.00624464
192808,0.00270351,-0.01921147,-0.02001585,0.06671753
192809,0.00240276,0.02356305,0.00808380,0.02858341
192810,0.00521302,0.02187352,-0.02033451,0.01292934
192811,0.00461013,-0.01654302,0.02420967,0.11784360
192812,0.00000000,-0.00901311,-0.00458783,0.00386650
192901,0.00260325,-0.03216811,-0.01137046,0.04636227
192902,0.00400761,-0.00332299,0.01617730,-0.00336870
192903,0.00240276,-0.04826618,0.01635467,-0.00862159
192904,0.00260325,-0.01159086,0.00934867,0.01476144
192905,0.00521302,-0.05822854,-0.01684472,-0.06354679
192906,0.00501202,-0.02004146,-0.02515291,0.09682153
192907,0.00260325,-0.03739747,0.02635066,0.04476798
192908,0.00521302,-0.09023831,0.00269066,0.08100833
192909,0.00240276,0.01294515,-0.00877296,-0.05440097
192910,0.00521302,-0.06509931,0.08256252,-0.20091624
192911,0.00340545,-0.01544746,0.04779385,-0.12813551
192912,0.00250300,-0.04132714,-0.00302538,0.01272810
193001,0.00260325,0.03374453,-0.01091300,0.05648809
193002,0.00220231,0.00206622,0.00252430,0.02498626
193003,0.00260325,0.03178322,0.00217902,0.07084934
193004,0.00240276,-0.00370710,-0.00427302,-0.02041886
193005,0.00250300,-0.02087575,-0.00973426,-0.01685537
193006,0.00250300,-0.04197643,0.02551851,-0.16052782
193007,0.00250300,-0.00314206,-0.01700955,0.04084702
193008,0.00000000,-0.02300899,-0.00583531,0.00318270
193009,0.00250300,-0.02777387,-0.05806807,-0.12793092
193010,0.00000000,-0.00552914,-0.01163052,-0.08780738
193011,0.00230253,0.02450969,-0.03825584,-0.03018326
193012,0.00260325,-0.05264044,-0.06035846,-0.07846476
193101,0.00260325,0.03111317,0.07799801,0.06251361
193102,0.00000000,0.03107639,0.01418470,0.10893327
193103,0.00000000,0.02955521,-0.03349899,-0.06359342
193104,0.00000000,-0.04888377,-0.04803091,-0.09966581
193105,0.00000000,0.05831351,-0.07009403,-0.13283496
193106,0.00000000,-0.05225943,0.10983540,0.13915581
193107,0.00000000,0.01250247,-0.02123595,-0.06606996
193108,0.00000000,-0.02340287,-0.01678071,0.00433225
193109,0.00000000,-0.02360423,-0.09064511,-0.29110375
193110,0.00000000,-0.02213671,0.03669546,0.08002761
193111,0.00230253,0.04599564,-0.05445337,-0.09127088
193112,0.00000000,-0.02106057,-0.10115575,-0.13518946
193201,0.00250300,0.03294644,0.10044836,-0.01567783
193202,0.00230253,-0.03992197,-0.01344092,0.05460205
193203,0.00260325,0.01655968,-0.02288245,-0.11293485
193204,0.00000000,0.00612792,0.01878413,-0.17953544
193205,0.00000000,0.04226147,-0.04983536,-0.20560331
193206,0.00000000,-0.01234853,0.05762434,-0.00799369
193207,0.00000000,-0.03586111,0.27656788,0.33610892
193208,0.00000000,0.07461079,0.26172801,0.37131130
193209,0.00000000,-0.03677023,-0.06169990,-0.02938895
193210,0.00000000,-0.04693626,-0.10912224,-0.13167586
193211,0.00000000,0.00961533,-0.12883349,-0.05862781
193212,0.00000000,-0.08661224,-0.06892974,0.04404488
193301,0.00000000,0.00301162,0.06611755,0.01239565
193302,0.00000000,-0.03639116,-0.03115813,-0.15270668
193303,0.00000000,0.03281698,0.08252145,0.03057893
193304,0.00000000,0.01591431,0.15365372,0.38795128
193305,0.00000000,0.28828734,0.14225440,0.21453594
193306,0.00000000,0.07612876,-0.00404311,0.13096001
193307,0.00000000,-0.00918001,0.05555302,-0.09636521
193308,0.00000000,-0.04834985,0.03088261,0.12048668
193309,0.00000000,-0.01291160,-0.12182521,-0.10632000
193310,0.00000000,-0.01227140,-0.07912795,-0.08374941
193311,0.00000000,-0.06153963,0.02466095,0.09970234
193312,0.00000000,0.00373215,-0.01654935,0.01830311
193401,0.00000000,0.11247565,0.14392585,0.12583299
193402,0.00000000,0.05289375,0.02127993,-0.02487472
193403,0.00000000,0.02396735,-0.02243923,0.00089597
193404,0.00000000,0.02809800,-0.03679300,-0.01782220
193405,0.00000000,-0.00443986,-0.05947381,-0.07268969
