Strategy,S&P_sectors,industry,international,SMB_HML,FF-1-factor,FF-4-factor
EW,0.1876,0.1353,0.1277,0.2240,0.1623,0.1753
MV (in sample),0.3848,0.2124,0.2090,0.2851,0.5098,0.5364
MV,0.0794,0.0679,-0.0332,0.2186,0.0128,0.1841
BS,0.0811,0.0719,-0.0297,0.2536,0.0138,0.1791
DM,0.1410,0.0581,0.0707,0.0016,0.0004,0.2355
MIN,0.0820,0.1554,0.1490,0.2493,0.2778,-0.0183
VW,0.1444,0.1138,0.1239,0.1138,0.1138,0.1138
MP,0.1863,0.0533,0.0984,-0.0002,0.1238,0.1230
MV-C,0.0892,0.0678,0.0848,0.1084,0.1977,0.2024
BS-C,0.1075,0.0819,0.0848,0.1514,0.1955,0.2062
MIN-C,0.0834,0.1425,0.1501,0.2493,0.1546,0.3580
G-MIN-C,0.1371,0.1451,0.1429,0.2467,0.1615,0.3028
MV-MIN,0.0683,0.0772,-0.0353,0.2546,-0.0079,0.1757
EW-MIN,0.1208,0.1576,0.1407,0.2503,0.2608,-0.0161
