Strategy,S&P_sectors,industry,international,SMB_HML,FF-1-factor,FF-4-factor
EW,0.0069,0.005,0.0046,0.0039,0.0073,0.0072
MV (in sample),0.0478,0.0106,0.0096,0.0047,0.03,0.0304
MV,0.0031,-0.7816,-0.1365,0.0045,-2.7142,-0.0829
BS,0.003,-0.3157,-0.0312,0.0043,-0.6504,-0.0362
DM,0.0052,-0.0319,0.0021,-0.0084,-0.0296,0.011
MIN,0.0024,0.0052,0.0054,0.0039,0.01,-0.0002
VW,0.0053,0.0042,0.0044,0.0042,0.0042,0.0042
MP,0.0073,0.0014,0.0034,-0.0026,0.0054,0.0053
MV-C,0.004,0.0023,0.0032,0.003,0.009,0.0075
BS-C,0.0052,0.0031,0.0031,0.0038,0.0088,0.0074
MIN-C,0.0024,0.0047,0.0054,0.0039,0.006,0.0051
G-MIN-C,0.0044,0.0048,0.0051,0.0038,0.0067,0.007
MV-MIN,0.0021,-0.2337,-0.0066,0.0044,-0.0875,-0.0318
EW-MIN,0.0037,0.0052,0.005,0.0039,0.0093,-0.0002
