Strategy,S&P_sectors,industry,international,SMB_HML,FF-1-factor,FF-4-factor
MV (in sample),,,,,,
MV,0.0145,231.8504,1.1689,0.0003,7.403,1.574
BS,0.0092,9.4602,0.3798,-0.0004,2.0858,1.1876
DM,0.0021,8.9987,0.013,0.0393,0.1302,-0.0007
MIN,0.0048,0.0015,0.0,-0.0004,-0.0008,0.0024
VW,-0.0001,0.0037,0.0012,0.0157,0.0021,0.0028
MP,0.0001,0.005,0.0021,0.0227,0.0023,0.003
MV-C,0.0085,0.0048,0.0034,0.0041,-0.0005,0.0002
BS-C,0.0061,0.0038,0.003,0.0023,-0.0004,-0.0
MIN-C,0.0042,-0.0001,-0.0007,-0.0004,0.0006,-0.0025
G-MIN-C,0.0019,-0.0003,-0.0006,-0.0003,0.0001,-0.0029
MV-MIN,0.0085,6.8115,0.1706,-0.0003,0.9306,1.8979
EW-MIN,0.003,0.0008,-0.0001,-0.0004,-0.0011,0.0024
